Quantity view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,EthanolFermPlant,SodiumChloride,NitrogenFertiliser,AmmoniumNitrate,AmmoniumSulfate,Urea,Water,NeutralisingAgent,SodiumHydroxide,1-Butanol,SteamGrid,WasteTreatment,CHPPlant,ElectricityGrid,Sugar,CornSteepLiqour,Ammonia,Urea,Wastewater,SteamBiomass,ElectricityBiomass,SulfuricAcid,Lime,CornStover,SO2,SoybeanOil,Combustor,WasteTreatment2,Transport
,,,ReCiPe 2016 v1.1 (E),ReCiPe 2016 v1.1 (E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ReCiPe 2016 v1.1 (H),ReCiPe 2016 v1.1 (H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Climate Change Incl Land Use Change (LUC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Endpoint (H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Climate change, default, excl biogenic carbon [kg CO2 eq.]",7.41E+06,0.289,10.7,8.81,1.84,3.38,7.98E-06,1.29E+00,1.37,2.99E+00,1.05E-01,3.96E-02,7.54E-04,0.664,0.494,0.00909,2.11,3.38,25.8,0.00259,0.055,0.166,0.0412,0.00983,0.515,1.46,0.00563,0.52,0.133
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Climate change, incl biogenic carbon [kg CO2 eq.]",7.46E+06,0.287,10.7,8.78E+00,1.83E+00,3.36E+00,8.58E-06,1.29E+00,1.37E+00,3.00E+00,1.05E-01,5.56E-01,7.27E-02,0.666333652,-1.59,0.00909,2.11,3.36,25.9,0.00433462,0.091966371,0.162763657,0.041488647,-1.87,0.511926401,3.596096456,0.133144972,1.27,0.133
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Fine Particulate Matter Formation [kg PM2.5 eq.],1.86E+04,0.000755,0.0112,8.71E-03,4.01E-03,7.27E-03,1.47E-08,3.55E-03,3.80E-03,5.08E-03,1.42E-04,6.04E-05,1.44E-05,0.002486964,0.00224,0.00262,0.00338,0.00727,0.0363,1.72E-05,3.65E-04,1.97E-03,9.87E-05,1.99E-05,0.014886434,0.006465705,3.23E-05,7.27E-05,0.000197
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Fossil depletion [kg oil eq.],1.32E+06,0.0792,1.42,1.28E+00,5.22E-01,1.32E+00,1.88E-06,3.56E-01,3.85E-01,1.77E+00,2.87E-02,5.67E-03,5.61E-05,0.23424172,0.244,0.0025,0.876,1.32,2.85,0.000669453,0.014203606,0.141384796,0.011262147,0.00101,0.434681895,0.257807684,0.001325517,0.00703,0.0473
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Freshwater Consumption [m3],6.83E+04,0.00433,0.0977,7.84E-02,6.73E-03,1.86E-01,0.000982,0.038552647,4.06E-02,0.112,0.00015689,0.000569949,2.47E-06,0.003053459,0.00588,1.15E-03,0.0577,0.186,-0.787,8.84E-06,1.88E-04,0.02190712,0.001027818,8.79E-06,0.003997348,0.069344776,3.59E-05,0.00115,0.000396
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Freshwater ecotoxicity [kg 1,4 DB eq.]",1.51E+05,0.0047,0.0481,2.42E-02,1.94E-02,1.72E-02,1.38E-07,1.32E-02,1.43E-02,1.60E-02,2.18E-04,2.82E-03,1.94E-05,0.00865017,0.0152,9.17E-09,0.00644,0.0172,0.262,2.97E-05,6.29E-04,0.005615869,0.000211772,1.65E-05,0.006244898,0.050406591,0.000181416,0.162,7.97E-04
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Freshwater Eutrophication [kg P eq.],5.03E+03,0.000202,0.00169,8.38E-04,7.99E-04,6.22E-04,2.72E-09,7.01E-04,7.56E-04,8.02E-04,1.56E-05,4.88E-05,2.58E-07,0.00070792,0.000347734,0.00E+00,0.000194136,0.000621949,0.095522266,4.61E-07,9.78E-06,2.03E-04,1.15E-05,2.24E-07,0.000267581,0.00061509,2.64E-06,3.89E-05,1.08E-05
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Human toxicity, cancer [kg 1,4-DB eq.]",8.82E+05,0.0217,0.202,1.04E-01,8.50E-02,7.13E-02,1.07E-06,5.97E-02,6.35E-02,8.08E-02,1.45E-03,9.18E-03,5.96E-05,0.039490522,0.0118876,3.08E-07,0.024657288,0.071303848,0.564011371,0.000135538,0.002875665,0.016304266,0.001359798,5.13E-05,0.026510161,0.168069126,0.000364949,0.03159041,0.002819759
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Human toxicity, non-cancer [kg 1,4-DB eq.]",3.85E+07,0.962,10.8,5.47E+00,4.53E+00,3.33E+00,1.34E-05,1.81E+00,1.88E+00,2.12E+00,3.12E-02,3.07E-01,1.63E-02,0.83655251,0.284329248,2.46E-05,1.14312641,3.332408841,13.80808949,0.017206936,0.365074741,1.59972921,0.02451034,0.002011909,1.148116125,-0.493392077,0.018546873,4.777737088,0.103534656
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Ionizing Radiation [Bq C-60 eq. to air],1.57E+05,0.0265,0.139,8.41E-02,5.11E-02,7.98E-02,2.40E-07,1.31E-01,1.47E-01,1.51E-01,1.16E-03,4.68E-04,5.63E-06,0.155557046,0.042132638,0.00E+00,0.026845548,0.079830342,1.038517203,4.45E-05,9.44E-04,0.009635755,0.001727074,5.34E-05,0.035940821,0.049273142,0.000508165,0.000551906,0.002931544
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Land use [Annual crop eq.·y],8.33E+05,0.0135,0.156,5.75E-02,7.14E-02,3.76E-02,2.62E-07,3.74E-02,3.59E-02,6.21E-02,5.32E-04,7.74E-04,4.51E-06,0.005345932,0.792656455,0.00E+00,0.01273128,0.037649336,0.262556915,0.031986818,0.678655339,0.008845018,0.000916489,0.000211638,0.013727003,6.854100534,0.000100926,0.00098756,0.007305364
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Marine ecotoxicity [kg 1,4-DB eq.]",2.65E+05,0.00722,0.0835,4.69E-02,2.97E-02,3.44E-02,2.03E-07,1.88E-02,2.01E-02,2.30E-02,5.25E-04,3.50E-03,6.48E-05,0.01084683,0.00498244,6.49E-08,0.016339881,0.034353318,0.332153522,8.39E-05,1.78E-03,0.008802307,0.000334985,7.91E-05,0.009990267,0.030095556,0.000291318,0.19852056,3.15E-03
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Marine Eutrophication [kg N eq.],317,4.37E-05,2.93E-04,3.50E-04,4.89E-05,1.64E-04,7.05E-10,7.63E-05,7.55E-05,5.89E-05,1.19E-06,1.22E-05,8.93E-09,4.86E-05,1.45E-05,3.74E-05,4.56E-05,1.64E-04,0.196756892,6.16E-08,1.31E-06,9.10E-06,8.44E-07,1.75E-07,2.02E-05,4.36E-03,1.79E-07,1.13E-05,1.28E-06
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Metal depletion [kg Cu eq.],2.30E+05,0.00252,0.0399,1.70E-02,1.66E-02,1.01E-02,1.59E-07,3.40E-03,3.40E-03,3.92E-03,2.87E-05,1.56E-04,5.19E-06,0.000274062,0.002481357,2.77E-04,0.003940412,0.010137897,0.035344095,1.23E-05,2.61E-04,4.04E-03,6.17E-05,4.57E-06,0.003557708,0.00483041,1.62E-05,0.000160723,0.000260323
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Photochemical Ozone Formation, Ecosystems [kg NOx eq.]",2.19E+05,0.00715,0.0928,5.22E-02,2.94E-02,2.49E-02,2.25E-06,1.35E-02,1.15E-02,1.68E-02,1.82E-04,1.30E+00,7.22E-05,0.001115964,0.000652307,2.99E-05,0.008976857,0.02488268,0.19591309,8.96E-05,1.90E-03,0.005285142,0.000173281,0.000144024,0.007313446,0.02918902,1.43E-04,2.801700592,0.001225151
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Photochemical Ozone Formation, Human Health [kg NOx eq.]",1.43E+05,0.00475,0.065,3.83E-02,1.95E-02,1.71E-02,1.40E-06,9.50E-03,8.33E-03,1.25E-02,1.68E-04,8.08E-01,6.77E-05,0.000946757,0.000565213,2.99E-05,0.006509393,0.017135653,0.138566933,8.20E-05,1.74E-03,0.003710882,0.000155291,0.000137672,0.005051581,0.019942227,1.30E-04,1.738446046,1.02E-03
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Stratospheric Ozone Depletion [kg CFC-11 eq.],1.98,1.19E-07,2.25E-04,2.08E-04,6.47E-07,1.23E-06,2.31E-12,1.20E-06,1.36E-06,8.43E-07,2.75E-08,5.81E-07,2.18E-08,2.52E-07,5.30E-06,6.83E-08,7.21E-07,1.23E-06,4.51E-05,2.29E-08,4.87E-07,1.36E-07,1.78E-08,4.62E-09,3.68E-07,1.80E-05,3.35E-08,5.38E-07,5.79E-08
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Terrestrial Acidification [kg SO2 eq.],4.14E+04,0.001487671,0.037,2.91E-02,1.01E-02,2.03E-02,2.57E-08,6.07E-03,6.01E-03,1.13E-02,3.83E-04,1.50E-04,4.96E-05,0.002120415,0.009622464,0.00846,0.008730482,0.020272315,0.091013421,5.60E-05,1.19E-03,0.006261576,0.00020043,5.16E-05,0.048951549,0.007046813,6.37E-05,0.000187884,0.00044685
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Terrestrial ecotoxicity [kg 1,4-DB eq.]",1.34E+08,2.399864842,36.6,2.36E+01,9.60E+00,1.77E+01,5.41E-05,4.10E+00,4.10E+00,4.19E+00,4.98E-01,9.65E-02,6.52E-02,0.311976989,0.168576529,0.000117,10.97271064,17.68978293,24.99849288,0.074222486,1.574757698,2.641588225,0.102175863,0.085639092,2.968746762,4.115987079,0.113754583,0.296054535,3.067188091
,,,ReCiPe 2016 v1.1 (I),ReCiPe 2016 v1.1 (I),,0,0,0.00E+00,0.00E+00,0.00E+00,,0,0.00E+00,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,TRACI 2.1,TRACI 2.1,TRACI 2.1,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,UBP 2013,UBP 2013,UBP 2013,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,USEtox 2.1,USEtox 2.1,USEtox 2.1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Water,Water,Water,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,SoFi quantities,SoFi quantities,SoFi quantities,SoFi quantities,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,Technical quantities,Technical quantities,Technical quantities,Technical quantities,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
